listing_id,bootstrap_mean,bootstrap_std,ci_lower_95,ci_upper_95
LI3625989522,0.3362,0.2016,0.0722,0.7493
LI3635759841,0.3376,0.222,0.0735,0.838
LI4060903567,0.3325,0.2066,0.057,0.7549
LI4078492078,0.3395,0.2065,0.0794,0.7504
LI4087202535,0.3289,0.2136,0.057,0.7772
LI4099691164,0.3247,0.2099,0.0546,0.7974
LI4099685783,0.3166,0.1989,0.066,0.7544
LI4115785708,0.3373,0.2132,0.0671,0.8203
LI4139842127,0.3704,0.2276,0.0765,0.8165
LI4142489999,0.3352,0.208,0.0633,0.7764
LI4141152270,0.3279,0.2125,0.064,0.8091
LI4184468595,0.3266,0.2039,0.0632,0.7837
LI4232601133,0.3559,0.2215,0.0654,0.8258
LI4249315561,0.3185,0.2143,0.0597,0.786
LI4256813124,0.3283,0.2058,0.0575,0.7709
LI4258066169,0.3346,0.2101,0.0558,0.782
LI4261056570,0.3358,0.1964,0.0757,0.7765
LI4264833835,0.3169,0.2054,0.0811,0.7726
LI4276144424,0.3616,0.2113,0.0785,0.7662
LI4276260350,0.3583,0.2096,0.0585,0.7554
LI4278819862,0.3602,0.2079,0.0805,0.7552
LI4286834690,0.3467,0.2187,0.071,0.7908
LI4287321907,0.3266,0.2157,0.0621,0.7669
LI4290659687,0.3396,0.1999,0.0778,0.756
LI4300708794,0.3187,0.203,0.056,0.7558
LI4303974438,0.3333,0.2242,0.0735,0.7863
LI4306114548,0.3492,0.2106,0.0775,0.7476
LI4306114558,0.3486,0.2003,0.0709,0.7553
LI4306131130,0.3562,0.2139,0.0858,0.7629
LI4306125307,0.3494,0.1996,0.0734,0.7565
LI4306114570,0.3649,0.2075,0.0623,0.7942
LI4306118466,0.3594,0.2136,0.0788,0.7581
LI4306117451,0.3277,0.221,0.0755,0.8269
LI4306116478,0.3458,0.2227,0.0687,0.7942
LI4306122383,0.3531,0.2159,0.0752,0.8289
LI4306126312,0.3347,0.2023,0.0636,0.7343
LI4306132133,0.3465,0.2193,0.0561,0.8411
LI4306122378,0.3321,0.2081,0.0557,0.7453
LI4306120381,0.3298,0.2063,0.0566,0.7942
LI4306114556,0.3644,0.2185,0.068,0.8258
LI4306132138,0.3543,0.2106,0.0695,0.7945
LI4306118473,0.3407,0.2164,0.0667,0.7856
LI4306134088,0.324,0.2039,0.064,0.7492
LI4306114564,0.3486,0.2202,0.0661,0.7703
LI4306115463,0.3319,0.199,0.07,0.7719
LI4306126320,0.3322,0.2169,0.0511,0.7663
LI4306121407,0.331,0.2199,0.0664,0.8412
LI4306112554,0.3472,0.2274,0.0709,0.7909
LI4306122390,0.3571,0.2037,0.0829,0.7496
LI4306120385,0.3247,0.2065,0.0661,0.7693
LI4310772851,0.3171,0.1932,0.0658,0.7682
LI4321237434,0.3395,0.2134,0.0576,0.7593
LI4341580403,0.3196,0.1954,0.0617,0.7285
LI4341525422,0.3409,0.1982,0.0848,0.7781
LI4341797497,0.3449,0.1995,0.0951,0.7558
LI4325866630,0.3634,0.2176,0.0756,0.7908
LI4348870118,0.3467,0.2156,0.0635,0.7821
LI4343576097,0.3356,0.2044,0.0668,0.7558
LI4346596989,0.3587,0.2186,0.0654,0.7949
LI4346652855,0.347,0.2224,0.0673,0.7572
LI4358257230,0.3242,0.2093,0.0652,0.7936
LI4352870573,0.3491,0.2226,0.0553,0.8227
LI4361276299,0.3319,0.2055,0.067,0.7912
LI4353013794,0.3456,0.2032,0.0597,0.7599
LI4353663500,0.3295,0.2072,0.0667,0.7556
LI4362040005,0.3368,0.2155,0.0656,0.7949
LI4354037883,0.327,0.1983,0.0517,0.749
LI4356590646,0.3487,0.2246,0.0668,0.8311
LI4367151021,0.358,0.2268,0.0685,0.8435
LI4367150052,0.3575,0.2182,0.0714,0.8274
LI4367163264,0.3473,0.2262,0.0599,0.8402
LI4367165019,0.3243,0.2011,0.064,0.7681
LI4356518947,0.3585,0.2104,0.0814,0.8483
LI4367949006,0.3526,0.2241,0.0574,0.7903
LI4368431355,0.3562,0.2222,0.06,0.8092
LI4368629697,0.3575,0.2147,0.0826,0.7893
LI4368626717,0.3197,0.2018,0.0667,0.7471
LI4368619191,0.3302,0.2146,0.06,0.8192
LI4368622761,0.3242,0.2002,0.0653,0.7532
